period,tot_cars,val_unit_c_000,fuel_cost,cpi_ex_energy
10-Sep,137349,33,102,115
10-Oct,125731,34,105,116
10-Nov,118521,34,107,116
10-Dec,114376,36,110,115
11-Jan,86320,34,114,116
11-Feb,98147,34,114,116
11-Mar,156452,33,122,117
11-Apr,162613,33,130,117
11-May,152064,33,132,117
11-Jun,168119,33,127,117
11-Jul,144171,33,131,117
11-Aug,143653,33,126,117
11-Sep,137660,34,125,118
11-Oct,129049,34,124,118
11-Nov,124466,33,121,118
11-Dec,117863,34,118,118
12-Jan,100448,33,121,118
12-Feb,109817,34,124,118
12-Mar,161688,33,130,119
12-Apr,161372,33,134,119
12-May,180368,33,129,119
12-Jun,173190,33,125,119
12-Jul,151451,33,125,119
12-Aug,152577,33,128,119
12-Sep,146270,33,131,119
12-Oct,138892,33,129,119
12-Nov,128849,34,122,119
12-Dec,111881,35,119,119
13-Jan,97872,35,119,119
13-Feb,105811,34,129,120
13-Mar,159953,34,129,120
13-Apr,175181,34,125,120
13-May,189030,34,127,120
13-Jun,174439,34,131,120
13-Jul,161835,34,133,120
13-Aug,161371,34,131,120
13-Sep,151644,34,130,120
13-Oct,148181,35,124,120
13-Nov,135776,35,123,120
13-Dec,115368,36,124,120
14-Jan,97624,35,124,120
14-Feb,107501,35,127,121
14-Mar,160655,35,131,122
14-Apr,182239,34,134,122
14-May,199568,34,135,122
14-Jun,179556,35,138,122
14-Jul,180682,35,135,122
14-Aug,174757,34,131,122
14-Sep,172069,35,130,123
14-Oct,159144,36,124,123
14-Nov,141763,36,115,123
14-Dec,134829,37,103,123
15-Jan,101597,37,91,123
15-Feb,111933,37,100,124
15-Mar,164402,36,106,124
15-Apr,192647,36,106,124
15-May,201603,36,112,125
15-Jun,181780,37,119,125
15-Jul,181324,36,119,125
15-Aug,178591,36,115,125
15-Sep,178738,37,106,125
15-Oct,166521,37,104,126
15-Nov,148163,37,104,125
15-Dec,132218,39,99,125
16-Jan,110686,39,93,126
16-Feb,121933,39,87,126
16-Mar,178227,38,92,127
16-Apr,203557,37,100,127
16-May,198425,37,104,127
16-Jun,193818,37,109,127
16-Jul,175846,38,102,127
16-Aug,174976,38,102,127
16-Sep,177191,39,103,127
16-Oct,157414,39,107,127
16-Nov,163320,40,101,127
16-Dec,128352,41,105,127
17-Jan,112996,40,112,127
17-Feb,125284,40,107,128
17-Mar,190744,40,106,128
17-Apr,200291,40,116,128
17-May,220436,39,111,129
17-Jun,207008,40,107,129
17-Jul,184809,39,107,129
17-Aug,187208,40,110,129
17-Sep,190640,40,116,129
17-Oct,167892,41,112,129
17-Nov,161903,42,121,129
17-Dec,127734,43,117,129
18-Jan,120246,42,121,130
18-Feb,128399,42,120,130
18-Mar,190863,42,123,131
18-Apr,195838,42,132,131
18-May,220858,42,136,131
18-Jun,206988,42,133,131
18-Jul,179754,41,134,132
18-Aug,185349,40,132,132
18-Sep,181516,42,130,131
18-Oct,166566,43,126,132
18-Nov,150143,45,114,132
18-Dec,119201,45,106,132
19-Jan,112178,43,103,132
19-Feb,124493,43,105,133
19-Mar,187907,43,118,134
19-Apr,186487,44,130,134
19-May,208375,43,131,134
19-Jun,193885,43,120,134
19-Jul,178450,43,124,135
19-Aug,187961,43,118,135
19-Sep,173009,44,117,134
19-Oct,163718,43,117,135
19-Nov,147221,44,115,135
19-Dec,116466,47,115,135
20-Jan,113350,45,115,135
20-Feb,127529,45,112,136
20-Mar,98019,47,91,136
20-Apr,47508,49,78,136
20-May,116102,45,91,136
20-Jun,163864,45,101,136
20-Jul,167600,44,106,136
20-Aug,172647,44,105,136
20-Sep,178057,45,104,136
20-Oct,160024,44,103,136
20-Nov,133733,46,101,137
20-Dec,113686,48,104,136
21-Jan,92655,47,111,137
21-Feb,115232,48,118,137
21-Mar,173881,47,125,137
21-Apr,165643,47,128,138
21-May,158098,45,132,139
21-Jun,169849,47,134,139
21-Jul,156827,46,138,140
21-Aug,146059,47,139,140
21-Sep,145102,46,139,140
21-Oct,131215,48,146,141
21-Nov,117378,52,146,141
21-Dec,103694,54,140,141
22-Jan,95850,50,147,142
22-Feb,105630,50,157,143
22-Mar,146102,49,175,144
22-Apr,144728,49,174,145
22-May,151199,51,195,147
22-Jun,153361,53,207,147
22-Jul,135177,51,188,148
22-Aug,136972,54,170,148
22-Sep,139531,53,156,149
22-Oct,132260,53,172,149
22-Nov,124585,54,165,150
22-Dec,109265,56,144,150
23-Jan,104250,56,150,150
